date,unique_clones,total_clones,unique_views,total_views
2026-05-17,67,259,95,137
2026-05-18,67,259,95,137
2026-05-19,77,276,100,145
2026-05-20,87,302,103,150
2026-05-21,95,317,105,152
2026-05-22,100,329,107,157
2026-05-23,106,350,107,162
2026-05-24,112,359,109,166
2026-05-25,124,387,111,170
2026-05-26,124,387,111,170
2026-05-27,132,412,113,172
2026-05-28,140,427,116,176
2026-05-29,147,445,118,178
2026-05-30,152,423,120,169
2026-05-31,121,308,104,139
2026-06-01,102,246,25,39
2026-06-02,101,247,23,37
2026-06-03,98,249,22,39
2026-06-04,97,260,22,36
2026-06-05,98,248,22,44
2026-06-06,98,248,22,44
2026-06-07,96,246,21,41
2026-06-08,103,271,19,37
2026-06-09,103,271,19,37
2026-06-10,106,277,20,38
2026-06-11,111,305,19,36
2026-06-12,111,305,19,36
2026-06-13,111,305,19,36
